state,lga,party,votes
Abia,Umuahia North,LP,27668
Abia,Umuahia North,APC,7225
Abia,Umuahia North,PDP,4843
Abia,Umuahia North,APGA,1816
Abia,Umuahia North,ADC,457
Abia,Aba South,LP,22014
Abia,Aba South,PDP,3348
Abia,Aba South,APGA,1762
Abia,Isiala Ngwa North,LP,7323
Abia,Isiala Ngwa North,APC,838
Abia,Isiala Ngwa North,PDP,21741
Abia,Isiala Ngwa North,APGA,225
Abia,Aba North,LP,20974
Abia,Aba North,PDP,4146
Abia,Aba North,APGA,1404
Abia,Aba North,YPP,2296
Abia,Umuahia South,LP,16187
Abia,Umuahia South,PDP,5464
Abia,Arochukwu,LP,12689
Abia,Arochukwu,APC,1082
Abia,Arochukwu,PDP,1280
Abia,Ohafia,LP,11848
Abia,Ohafia,APC,1354
Abia,Ohafia,PDP,4128
Abia,Ohafia,APGA,945
Abia,Osisioma,LP,7032
Abia,Osisioma,APC,504
Abia,Osisioma,PDP,4699
Abia,Osisioma,APGA,292
Abia,Osisioma,YPP,8839
Abia,Osisioma,ADC,332
Abia,Obingwa,LP,3776
Abia,Obingwa,APC,721
Abia,Obingwa,PDP,9962
Abia,Obingwa,APGA,1445
Abia,Bende,LP,9886
Abia,Bende,APC,2143
Abia,Bende,PDP,3410
Abia,Bende,APGA,847
Abia,Isiala Ngwa South,LP,7589
Abia,Isiala Ngwa South,APC,1580
Abia,Isiala Ngwa South,PDP,9093
Abia,Isiala Ngwa South,APGA,366
Abia,Isuikwuato,LP,8228
Abia,Isuikwuato,PDP,2204
Abia,Isuikwuato,APGA,3662
Abia,Ikwuano,LP,7054
Abia,Ikwuano,APC,1198
Abia,Ikwuano,PDP,2427
Abia,Umunneochi,LP,5940
Abia,Umunneochi,APC,2034
Abia,Umunneochi,PDP,3198
Abia,Umunneochi,APGA,581
Abia,Ukwa West,LP,2833
Abia,Ukwa West,APC,1209
Abia,Ukwa West,PDP,4622
Abia,Ukwa West,APGA,830
Abia,Ugwunagbo,LP,2153
Abia,Ugwunagbo,PDP,2538
Abia,Ugwunagbo,YPP,1805
Abia,Ukwa East,LP,2273
Abia,Ukwa East,APC,560
Abia,Ukwa East,PDP,232
Abia,Ukwa East,APGA,646
Adamawa,Demsa,AA,6
Adamawa,Demsa,ADC,255
Adamawa,Demsa,ADP,104
Adamawa,Demsa,APC,11798
Adamawa,Demsa,APGA,28
Adamawa,Demsa,APM,14
Adamawa,Demsa,APP,14
Adamawa,Demsa,LP,84
Adamawa,Demsa,NNPP,32
Adamawa,Demsa,NRM,77
Adamawa,Demsa,PDP,22958
Adamawa,Demsa,PRP,179
Adamawa,Demsa,SDP,146
Adamawa,Demsa,YPP,14
Adamawa,Demsa,ZLP,3
Adamawa,Fufore,AA,11
Adamawa,Fufore,ADC,100
Adamawa,Fufore,ADP,117
Adamawa,Fufore,APC,24777
Adamawa,Fufore,APGA,243
Adamawa,Fufore,APM,52
Adamawa,Fufore,APP,10
Adamawa,Fufore,LP,81
Adamawa,Fufore,NNPP,891
Adamawa,Fufore,NRM,64
Adamawa,Fufore,PDP,20409
Adamawa,Fufore,PRP,50
Adamawa,Fufore,SDP,217
Adamawa,Fufore,YPP,60
Adamawa,Fufore,ZLP,12
Adamawa,Ganye,AA,10
Adamawa,Ganye,ADC,80
Adamawa,Ganye,ADP,92
Adamawa,Ganye,APC,21605
Adamawa,Ganye,APGA,42
Adamawa,Ganye,APM,35
Adamawa,Ganye,APP,9
Adamawa,Ganye,LP,22
Adamawa,Ganye,NNPP,26
Adamawa,Ganye,NRM,59
Adamawa,Ganye,PDP,17883
Adamawa,Ganye,PRP,76
Adamawa,Ganye,SDP,69
Adamawa,Ganye,YPP,26
Adamawa,Ganye,ZLP,7
Adamawa,Girei,AA,8
Adamawa,Girei,ADC,48
Adamawa,Girei,ADP,82
Adamawa,Girei,APC,16140
Adamawa,Girei,APGA,26
Adamawa,Girei,APM,38
Adamawa,Girei,APP,7
Adamawa,Girei,LP,118
Adamawa,Girei,NNPP,933
Adamawa,Girei,NRM,44
Adamawa,Girei,PDP,17298
Adamawa,Girei,PRP,45
Adamawa,Girei,SDP,95
Adamawa,Girei,YPP,806
Adamawa,Girei,ZLP,27
Adamawa,Hong,AA,80
Adamawa,Hong,ADC,181
Adamawa,Hong,ADP,169
Adamawa,Hong,APC,18639
Adamawa,Hong,APGA,41
Adamawa,Hong,APM,29
Adamawa,Hong,APP,19
Adamawa,Hong,LP,295
Adamawa,Hong,NNPP,91
Adamawa,Hong,NRM,88
Adamawa,Hong,PDP,31443
Adamawa,Hong,PRP,29
Adamawa,Hong,SDP,247
Adamawa,Hong,YPP,44
Adamawa,Hong,ZLP,10
Adamawa,Madagali,AA,22
Adamawa,Madagali,ADC,282
Adamawa,Madagali,ADP,101
Adamawa,Madagali,APC,9650
Adamawa,Madagali,APGA,54
Adamawa,Madagali,APM,67
Adamawa,Madagali,APP,43
Adamawa,Madagali,LP,392
Adamawa,Madagali,NNPP,88
Adamawa,Madagali,NRM,116
Adamawa,Madagali,PDP,27351
Adamawa,Madagali,PRP,55
Adamawa,Madagali,SDP,209
Adamawa,Madagali,YPP,31
Adamawa,Madagali,ZLP,10
Adamawa,Maiha,AA,7
Adamawa,Maiha,ADC,27
Adamawa,Maiha,ADP,46
Adamawa,Maiha,APC,13242
Adamawa,Maiha,APGA,24
Adamawa,Maiha,APM,10
Adamawa,Maiha,APP,46
Adamawa,Maiha,LP,5
Adamawa,Maiha,NNPP,10
Adamawa,Maiha,NRM,33
Adamawa,Maiha,PDP,12792
Adamawa,Maiha,PRP,18
Adamawa,Maiha,SDP,14
Adamawa,Maiha,YPP,11
Adamawa,Maiha,ZLP,3
Adamawa,Mayo-Belwa,AA,8
Adamawa,Mayo-Belwa,ADC,98
Adamawa,Mayo-Belwa,ADP,60
Adamawa,Mayo-Belwa,APC,23576
Adamawa,Mayo-Belwa,APGA,22
Adamawa,Mayo-Belwa,APM,31
Adamawa,Mayo-Belwa,APP,14
Adamawa,Mayo-Belwa,LP,556
Adamawa,Mayo-Belwa,NNPP,230
Adamawa,Mayo-Belwa,NRM,37
Adamawa,Mayo-Belwa,PDP,20239
Adamawa,Mayo-Belwa,PRP,98
Adamawa,Mayo-Belwa,SDP,860
Adamawa,Mayo-Belwa,YPP,56
Adamawa,Mayo-Belwa,ZLP,29
Adamawa,Michika,AA,15
Adamawa,Michika,ADC,217
Adamawa,Michika,ADP,75
Adamawa,Michika,APC,15793
Adamawa,Michika,APGA,46
Adamawa,Michika,APM,40
Adamawa,Michika,APP,16
Adamawa,Michika,LP,59
Adamawa,Michika,NNPP,116
Adamawa,Michika,NRM,107
Adamawa,Michika,PDP,30262
Adamawa,Michika,PRP,54
Adamawa,Michika,SDP,28
Adamawa,Michika,YPP,35
Adamawa,Michika,ZLP,10
Adamawa,Mubi North,AA,232
Adamawa,Mubi North,ADC,113
Adamawa,Mubi North,ADP,129
Adamawa,Mubi North,APC,32342
Adamawa,Mubi North,APGA,36
Adamawa,Mubi North,APM,32
Adamawa,Mubi North,APP,11
Adamawa,Mubi North,LP,52
Adamawa,Mubi North,NNPP,158
Adamawa,Mubi North,NRM,50
Adamawa,Mubi North,PDP,17469
Adamawa,Mubi North,PRP,67
Adamawa,Mubi North,SDP,53
Adamawa,Mubi North,YPP,11
Adamawa,Mubi North,ZLP,6
Adamawa,Mubi South,AA,64
Adamawa,Mubi South,ADC,144
Adamawa,Mubi South,ADP,67
Adamawa,Mubi South,APC,18149
Adamawa,Mubi South,APGA,19
Adamawa,Mubi South,APM,14
Adamawa,Mubi South,APP,11
Adamawa,Mubi South,LP,47
Adamawa,Mubi South,NNPP,160
Adamawa,Mubi South,NRM,31
Adamawa,Mubi South,PDP,12686
Adamawa,Mubi South,PRP,19
Adamawa,Mubi South,SDP,340
Adamawa,Mubi South,YPP,14
Adamawa,Mubi South,ZLP,10
Adamawa,Numan,AA,8
Adamawa,Numan,ADC,138
Adamawa,Numan,ADP,91
Adamawa,Numan,APC,10626
Adamawa,Numan,APGA,19
Adamawa,Numan,APM,6
Adamawa,Numan,APP,6
Adamawa,Numan,LP,63
Adamawa,Numan,NNPP,28
Adamawa,Numan,NRM,45
Adamawa,Numan,PDP,17026
Adamawa,Numan,PRP,47
Adamawa,Numan,SDP,24
Adamawa,Numan,YPP,14
Adamawa,Numan,ZLP,3
Adamawa,Song,AA,5
Adamawa,Song,ADC,96
Adamawa,Song,ADP,126
Adamawa,Song,APC,19935
Adamawa,Song,APGA,47
Adamawa,Song,APM,67
Adamawa,Song,APP,21
Adamawa,Song,LP,438
Adamawa,Song,NNPP,1582
Adamawa,Song,NRM,86
Adamawa,Song,PDP,24744
Adamawa,Song,PRP,45
Adamawa,Song,SDP,350
Adamawa,Song,YPP,73
Adamawa,Song,ZLP,18
Adamawa,Toungo,AA,3
