election_type,year,state,constituency,code,candidate,gender,party,votes,position,elected
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,OSSY EHIRIODO OSSY PRESTIGE CHINEDU,M,APGA,17496,1,1
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,UZO AZUBUIKE,M,PDP,11009,2,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,MASCOT UZOR KALU,M,APC,3465,3,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,EHILEGBU CHISOM,M,PT,48,4,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,OKORONKWO EMMANUEL,M,SDP,45,5,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,IZUOGU AMAKA,F,MPN,26,6,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,OKPECHI ADANNE H.,F,ADC,20,7,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,ONWUTUEBE MICHEAL ODOCHUKWU,M,LP,18,8,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,AGBOWO JOSHUA IKEMEFUNA,M,UPP,8,9,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,TOMOTHY IHEMEGO,M,ZLP,3,10,0
house,2019,Abia,ABA NORTH/ABA SOUTH,FC/001/AB,IFEANYI NWOSU CHIOMA ADAORA,F,A,1,11,0
house,2019,Abia,AROCHUKWU/OHAFIA,FC/002/AB,HON. NKOLE UKO NDUKWE,M,PDP,5723,1,1
house,2019,Abia,AROCHUKWU/OHAFIA,FC/002/AB,NNAMDI IRO OJI,M,APC,5496,2,0
house,2019,Abia,AROCHUKWU/OHAFIA,FC/002/AB,OKWARA IBE OSONWA,M,APGA,4033,3,0
house,2019,Abia,AROCHUKWU/OHAFIA,FC/002/AB,NKATA CHARLES,M,SDP,1001,4,0
