pu_code,election_type,year,state,sheet_url,sheet_status,json
03/01/01/001,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5291-1679207895.pdf,saved,
03/01/01/002,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5292-1679208345.pdf,saved,
03/01/01/003,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5293-1679158112.pdf,saved,
03/01/01/004,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5294-1679159669.pdf,saved,
03/01/01/005,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5295-1679167250.pdf,saved,
03/01/01/006,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5296-1679206205.pdf,saved,
03/01/01/007,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5297-1679207358.pdf,saved,
03/01/01/008,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5298-1679157420.pdf,saved,
03/01/01/009,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5299-1679172212.pdf,saved,
03/01/01/010,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5300-1679156737.pdf,saved,
03/01/01/011,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5301-1679323133.pdf,saved,
03/01/01/012,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5302-1679323263.pdf,saved,
03/01/01/013,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5303-1679207871.pdf,saved,
03/01/01/014,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5304-1679175031.pdf,saved,
03/01/01/015,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/5305-1679210857.pdf,saved,
03/01/01/016,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/129439-1679206689.pdf,saved,
03/01/01/017,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/129440-1679210336.pdf,saved,
03/01/01/018,governorship,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1764/elections_prod/1764/129441-1679211989.pdf,saved,
