pu_code,election_type,year,state,sheet_url,sheet_status,json
03/01/01/001,presidential,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1292/elections_prod/1292/state/1/lga/3141/ward/17936/pu/5291/5291-1677578065.pdf,saved,
03/01/01/002,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5285/result_254903_1677582535_thumb.jpg,saved,
03/01/01/003,presidential,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1292/elections_prod/1292/state/1/lga/3141/ward/17936/pu/5293/5293-1677581801.pdf,saved,
03/01/01/004,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5287/result_254905_1677582658_thumb.jpg,saved,
03/01/01/005,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5288/result_254906_1677582768_thumb.jpg,saved,
03/01/01/006,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5289/result_254907_1677583400_thumb.jpg,saved,
03/01/01/007,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5290/result_254908_1677583590_thumb.jpg,saved,
03/01/01/008,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5291/result_254909_1677585144_thumb.jpg,saved,
03/01/01/009,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5292/result_254910_1677585423_thumb.jpg,saved,
03/01/01/010,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5293/result_254911_1677586327_thumb.jpg,saved,
03/01/01/011,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/,dead,
03/01/01/012,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5295/result_254913_1677587169_thumb.jpg,saved,
03/01/01/013,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5296/result_254914_1677587688_thumb.jpg,saved,
03/01/01/014,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5297/result_254915_1677587945_thumb.jpg,saved,
03/01/01/015,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/5298/result_254916_1677588671_thumb.jpg,saved,
03/01/01/016,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621050/result_254917_1677588376_thumb.jpg,saved,
03/01/01/017,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621051/result_254918_1677589042_thumb.jpg,saved,
03/01/01/018,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621052/result_254919_1677589381_thumb.jpg,saved,
03/01/01/019,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621053/result_254920_1677589625_thumb.jpg,saved,
03/01/01/020,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621054/result_254921_1677590127_thumb.jpg,saved,
03/01/01/021,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621055/result_254922_1677590412_thumb.jpg,saved,
03/01/01/022,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621056/result_254923_1677590856_thumb.jpg,saved,
03/01/01/023,presidential,2023,Akwa Ibom,https://inc-s3-cache.incportals.com/cached/results/621057/result_254924_1677591278_thumb.jpg,saved,
