pu_code,election_type,year,state,sheet_url,sheet_status,json
03/01/01/001,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5291-1679476120.pdf,have,
03/01/01/002,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5292-1679562451.pdf,have,
03/01/01/003,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5293-1679562656.pdf,have,
03/01/01/004,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5294-1679562806.pdf,have,
03/01/01/005,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5295-1679563044.pdf,have,
03/01/01/006,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5296-1679563322.pdf,have,
03/01/01/007,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5297-1679563489.pdf,have,
03/01/01/008,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5298-1679563617.pdf,have,
03/01/01/009,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5299-1679563746.pdf,have,
03/01/01/010,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/01/pu/010/010-1677341734.pdf,have,
03/01/01/011,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5301-1679564045.pdf,have,
03/01/01/012,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5302-1679564187.pdf,have,
03/01/01/013,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5303-1679564335.pdf,have,
03/01/01/014,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5304-1679564457.pdf,have,
03/01/01/015,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5305-1679564575.pdf,have,
03/01/01/016,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129439-1679564716.pdf,have,
03/01/01/017,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129440-1679686830.pdf,have,
03/01/01/018,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129441-1679686961.pdf,have,
03/01/01/019,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129442-1679687104.pdf,have,
03/01/01/020,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129443-1679687276.pdf,have,
03/01/01/021,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129444-1679687391.pdf,have,
03/01/01/022,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129445-1679687622.pdf,have,
03/01/01/023,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129446-1679687823.pdf,have,
03/01/01/024,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129447-1679687975.pdf,have,
03/01/01/025,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129448-1679688224.pdf,have,
03/01/01/026,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129449-1679688359.pdf,have,
03/01/01/027,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129450-1679688452.pdf,have,
03/01/02/001,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5306-1679778469.pdf,have,
03/01/02/002,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/02/pu/002/002-1677344384.pdf,have,
03/01/02/003,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/02/pu/003/003-1677365500.pdf,have,
03/01/02/004,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5309-1679779303.pdf,have,
03/01/02/005,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5310-1679779670.pdf,have,
03/01/02/006,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5311-1679779987.pdf,have,
03/01/02/007,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5312-1679787888.pdf,have,
03/01/02/008,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129451-1679788323.pdf,have,
03/01/02/009,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129452-1679788441.pdf,have,
03/01/02/010,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129453-1679788732.pdf,have,
03/01/03/001,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5313-1679468254.pdf,have,
03/01/03/002,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5314-1679468730.pdf,have,
03/01/03/003,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5315-1679488297.pdf,have,
03/01/03/004,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5316-1679488552.pdf,have,
03/01/03/005,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5317-1679489048.pdf,have,
03/01/03/006,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/03/pu/006/006-1677344983.pdf,have,
03/01/03/007,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5319-1679489461.pdf,have,
03/01/03/008,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5320-1679489641.pdf,have,
03/01/03/009,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/03/pu/009/009-1677341695.pdf,have,
03/01/03/010,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129454-1679490173.pdf,have,
03/01/03/011,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/03/012,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129456-1679490689.pdf,have,
03/01/03/013,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129457-1679490986.pdf,have,
03/01/03/014,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/03/pu/014/014-1677338903.pdf,have,
03/01/03/015,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129459-1679491342.pdf,have,
03/01/03/016,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/03/pu/016/016-1677345044.pdf,have,
03/01/03/017,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129461-1679494860.pdf,have,
03/01/03/018,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129462-1679495085.pdf,have,
03/01/03/019,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129463-1679495229.pdf,have,
03/01/03/020,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129464-1679495481.pdf,have,
03/01/03/021,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129465-1679495687.pdf,have,
03/01/03/022,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/03/pu/022/022-1677342998.pdf,have,
03/01/03/023,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129467-1679496081.pdf,have,
03/01/03/024,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129468-1679496251.pdf,have,
03/01/03/025,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/03/026,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129470-1679496550.pdf,have,
03/01/03/027,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129471-1679498138.pdf,have,
03/01/03/028,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129472-1679499129.pdf,have,
03/01/04/001,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/002,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/003,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/004,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/005,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/006,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/007,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/008,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/009,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/010,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/04/pu/010/010-1677393400.pdf,have,
03/01/04/011,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/012,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/013,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/014,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/04/015,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/05/001,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5331-1679477854.pdf,have,
03/01/05/002,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5332-1679479243.pdf,have,
03/01/05/003,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5333-1679493811.pdf,have,
03/01/05/004,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5334-1679494232.pdf,have,
03/01/05/005,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5335-1679494838.pdf,have,
03/01/05/006,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5336-1679495067.pdf,have,
03/01/05/007,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/05/pu/007/007-1677344211.pdf,have,
03/01/05/008,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5338-1679495441.pdf,have,
03/01/05/009,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5339-1679495731.pdf,have,
03/01/05/010,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5340-1679496053.pdf,have,
03/01/05/011,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5341-1679496290.pdf,have,
03/01/05/012,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/05/pu/012/012-1677343858.pdf,have,
03/01/05/013,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/05/pu/013/013-1677340170.pdf,have,
03/01/05/014,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/05/pu/014/014-1677339774.pdf,have,
03/01/05/015,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/129479-1679496782.pdf,have,
03/01/06/001,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/002,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/003,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/004,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/005,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/006,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/007,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/008,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/009,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/010,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/011,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/012,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/013,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/014,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/015,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/016,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/017,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/018,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/019,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/06/pu/019/019-1677339824.pdf,have,
03/01/06/020,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/021,senatorial,2023,Akwa Ibom,,no_sheet,
03/01/06/022,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/state/03/lga/01/ward/06/pu/022/022-1677341793.pdf,have,
03/01/07/001,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5363-1679583511.pdf,have,
03/01/07/002,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5364-1679584498.pdf,have,
03/01/07/003,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5365-1679584717.pdf,have,
03/01/07/004,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5366-1679584894.pdf,have,
03/01/07/005,senatorial,2023,Akwa Ibom,https://irev-results.lon1.digitaloceanspaces.com/1580/elections_prod/1580/5367-1679585170.pdf,have,
